"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","FAM1213_1K","FAM1450_1K","FAM19191_1K","FAM22076_1K","FAM23285_1K","FAM8102_1K"
"group_296","","hypothetical protein","3","3","1","185","6","186","3","","356","731","481","FAM1213_1K_00505","FAM1450_1K_01387","","FAM22076_1K_01256","",""
"group_312","","hypothetical protein","3","3","1","171","3","169","8","","683","1577","981","FAM1213_1K_01037","FAM1450_1K_01634","","FAM22076_1K_01448","",""
"group_345","","Putative peptidyl-prolyl cis-trans isomerase","3","3","1","200","111","200","80","","236","398","344","FAM1213_1K_01597","FAM1450_1K_00050","","FAM22076_1K_00340","",""
"group_434","","hypothetical protein","3","3","1","194","24","195","18","","518","785","607","FAM1213_1K_00122","FAM1450_1K_01863","","FAM22076_1K_01650","",""
"mepA","","Multidrug export protein MepA","3","3","1","","","","","","317","1334","967","FAM1213_1K_00206","FAM1450_1K_00860","","FAM22076_1K_00593","",""
"group_549","","hypothetical protein","3","3","1","154","4","151","5","","425","1097","754","FAM1213_1K_01980","FAM1450_1K_01879","","FAM22076_1K_01850","",""
"group_557","","hypothetical protein","3","3","1","190","11","190","13","","458","1613","894","FAM1213_1K_02097","FAM1450_1K_01052","","FAM22076_1K_00692","",""
"group_641","","hypothetical protein","3","3","1","189","14","189","12","","281","656","531","FAM1213_1K_00592","FAM1450_1K_01356","","FAM22076_1K_01205","",""
"group_643","","hypothetical protein","3","3","1","189","11","189","7","","563","971","835","FAM1213_1K_00594","FAM1450_1K_01358","","FAM22076_1K_01207","",""
"group_645","","hypothetical protein","3","3","1","187","8","187","3","","287","539","437","FAM1213_1K_00600","FAM1450_1K_01297","","FAM22076_1K_01133","",""
"carB_2","","Carbamoyl-phosphate synthase large chain","3","3","1","","","","","","1841","3188","2739","FAM1213_1K_00676","FAM1450_1K_01921","","FAM22076_1K_01164","",""
"group_691","","hypothetical protein","3","3","1","193","32","193","32","","545","941","809","FAM1213_1K_01151","FAM1450_1K_01574","","FAM22076_1K_01436","",""
"group_712","","hypothetical protein","3","3","1","200","99","200","11","","266","356","310","FAM1213_1K_01349","FAM1450_1K_00065","","FAM22076_1K_00355","",""
"ackA_1","","Acetate kinase","3","3","1","","","","","","521","989","700","FAM1213_1K_01463","FAM1450_1K_00096","","FAM22076_1K_01214","",""
"group_893","","hypothetical protein","3","3","1","199","35","199","36","","410","503","441","FAM1213_1K_00267","FAM1450_1K_00952","","FAM22076_1K_01329","",""
"group_894","","hypothetical protein","3","3","1","199","36","199","37","","710","710","710","FAM1213_1K_00268","FAM1450_1K_00904","","FAM22076_1K_01908","",""
"group_921","","hypothetical protein","3","3","1","191","10","192","16","","128","128","128","FAM1213_1K_00397","FAM1450_1K_01318","","FAM22076_1K_01720","",""
"group_976","","hypothetical protein","3","3","1","187","11","187","13","","191","497","293","FAM1213_1K_00645","FAM1450_1K_01011","","FAM22076_1K_01693","",""
"group_978","","hypothetical protein","3","3","1","187","4","187","8","","272","272","272","FAM1213_1K_00649","FAM1450_1K_01013","","FAM22076_1K_01696","",""
"iolU_2","","scyllo-inositol 2-dehydrogenase (NADP(+)) IolU","3","3","1","199","12","199","43","","971","971","971","FAM1213_1K_00269","FAM1450_1K_00903","","FAM22076_1K_01909","",""
"mscL","","Large-conductance mechanosensitive channel","3","3","1","199","24","199","26","","362","371","368","FAM1213_1K_00233","FAM1450_1K_01075","","FAM22076_1K_00747","",""
"oxc","","Oxalyl-CoA decarboxylase","3","3","1","199","30","199","30","","647","1313","1091","FAM1213_1K_00263","FAM1450_1K_00958","","FAM22076_1K_01323","",""
"ptsG","","PTS system glucose-specific EIICBA component","3","3","1","199","28","199","28","","599","1949","1049","FAM1213_1K_00255","FAM1450_1K_00966","","FAM22076_1K_01315","",""
"uctC","","Acetyl-CoA:oxalate CoA-transferase","3","3","1","199","34","199","35","","842","1190","1074","FAM1213_1K_00265","FAM1450_1K_00953","","FAM22076_1K_01328","",""
"ydhF","","Oxidoreductase YdhF","3","3","1","155","6","157","4","","209","920","683","FAM1213_1K_01245","FAM1450_1K_02135","","FAM22076_1K_01665","",""
"yhcR_2","","Endonuclease YhcR","3","3","1","197","27","197","29","","401","1874","1145","FAM1213_1K_01537","FAM1450_1K_01622","","FAM22076_1K_01267","",""
"ackA_3","","Acetate kinase","2","2","1","196","1","196","3","","332","332","332","FAM1213_1K_01264","FAM1450_1K_01215","","","",""
"ackA_5","","Acetate kinase","2","2","1","200","117","200","114","","257","356","306","FAM1213_1K_01464","FAM1450_1K_00097","","","",""
"bbmA","","Intracellular maltogenic amylase","2","2","1","196","3","196","5","","1721","1721","1721","FAM1213_1K_01266","FAM1450_1K_01217","","","",""
"cycB","","Cyclodextrin-binding protein","2","2","1","196","18","196","9","","1226","1226","1226","FAM1213_1K_01270","FAM1450_1K_01221","","","",""
"dppE_1","","Dipeptide-binding protein DppE","2","2","1","186","8","184","4","","1631","1631","1631","","FAM1450_1K_01190","","FAM22076_1K_00662","",""
"dppE_2","","Dipeptide-binding protein DppE","2","2","1","186","7","184","2","","1502","1622","1562","","FAM1450_1K_01189","","FAM22076_1K_00663","",""
"ecfA1_2","","Energy-coupling factor transporter ATP-binding protein EcfA1","2","2","1","174","5","174","4","","836","836","836","","FAM1450_1K_01367","","FAM22076_1K_01346","",""
"ecfA2_2","","Energy-coupling factor transporter ATP-binding protein EcfA2","2","2","1","174","4","174","3","","800","800","800","","FAM1450_1K_01368","","FAM22076_1K_01345","",""
"folD","","Bifunctional protein FolD protein","2","2","1","194","20","195","14","","848","848","848","FAM1213_1K_01162","","","FAM22076_1K_00101","",""
"frc_1","","Formyl-CoA:oxalate CoA-transferase","2","2","1","199","31","199","33","","551","551","551","","FAM1450_1K_00955","","FAM22076_1K_01326","",""
"glnQ_4","","Glutamine transport ATP-binding protein GlnQ","2","2","1","195","28","194","20","","740","740","740","FAM1213_1K_00653","","","FAM22076_1K_01615","",""
"group_1","","hypothetical protein","2","2","1","198","23","198","3","","695","803","749","","FAM1450_1K_01328","","FAM22076_1K_01062","",""
"group_1009","","hypothetical protein","2","2","1","200","18","200","98","","458","458","458","FAM1213_1K_00756","FAM1450_1K_00113","","","",""
"group_1013","","hypothetical protein","2","2","1","200","14","200","94","","293","362","327","FAM1213_1K_00768","","","FAM22076_1K_01523","",""
"group_1040","","hypothetical protein","2","2","1","177","7","178","7","","440","788","614","FAM1213_1K_00883","FAM1450_1K_01283","","","",""
"group_11","","hypothetical protein","2","2","1","200","12","200","92","","233","239","236","FAM1213_1K_00771","FAM1450_1K_01659","","","",""
"group_1119","","hypothetical protein","2","2","1","196","12","196","14","","407","2663","1535","FAM1213_1K_01277","FAM1450_1K_01225","","","",""
"group_1120","","hypothetical protein","2","2","1","196","11","196","15","","254","476","365","FAM1213_1K_01278","FAM1450_1K_01226","","","",""
"group_1146","","hypothetical protein","2","2","1","152","4","149","4","","785","785","785","FAM1213_1K_01420","","","FAM22076_1K_02006","",""
"group_1155","","hypothetical protein","2","2","1","95","1","97","1","Investigate","236","236","236","FAM1213_1K_01479","","","FAM22076_1K_00322","",""
"prtP_1","","PIII-type proteinase","2","2","1","199","18","199","20","","6035","6035","6035","FAM1213_1K_01601","FAM1450_1K_00099","","","",""
"group_1173","","hypothetical protein","2","2","1","169","10","172","8","","449","449","449","FAM1213_1K_01607","","","FAM22076_1K_01337","",""
"group_1205","","hypothetical protein","2","2","1","142","3","141","2","","335","1700","1017","FAM1213_1K_01787","FAM1450_1K_02053","","","",""
"group_1237","","hypothetical protein","2","2","1","151","4","152","2","","368","371","369","FAM1213_1K_01952","FAM1450_1K_02167","","","",""
"group_1253","","hypothetical protein","2","2","1","180","2","179","6","","272","272","272","FAM1213_1K_02047","","","FAM22076_1K_01296","",""
"group_1275","","hypothetical protein","2","2","1","192","9","191","5","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","209","209","209","","FAM1450_1K_00352","","FAM22076_1K_00949","",""
"group_1276","","hypothetical protein","2","2","1","192","13","191","3","","149","158","153","","FAM1450_1K_00354","","FAM22076_1K_00947","",""
"group_1287","","hypothetical protein","2","2","1","141","2","140","2","","128","128","128","","FAM1450_1K_00695","","FAM22076_1K_01043","",""
"group_1292","","hypothetical protein","2","2","1","200","94","200","3","","284","407","345","","FAM1450_1K_00990","","FAM22076_1K_00372","",""
"group_1294","","hypothetical protein","2","2","1","187","5","187","9","","626","1046","836","","FAM1450_1K_01012","","FAM22076_1K_01694","",""
"group_1303","","hypothetical protein","2","2","1","193","4","193","4","","125","125","125","","FAM1450_1K_01149","","FAM22076_1K_02004","",""
"group_1308","","hypothetical protein","2","2","1","189","7","189","11","","134","545","339","","FAM1450_1K_01346","","FAM22076_1K_01195","",""
"group_1309","","hypothetical protein","2","2","1","189","12","189","8","","587","587","587","","FAM1450_1K_01357","","FAM22076_1K_01206","",""
"group_1312","","hypothetical protein","2","2","1","198","21","198","1","","233","284","258","","FAM1450_1K_01417","","FAM22076_1K_00751","",""
"group_1317","","hypothetical protein","2","2","1","149","1","150","1","","188","218","203","","FAM1450_1K_01543","","FAM22076_1K_01371","",""
"group_1320","","hypothetical protein","2","2","1","186","1","184","9","","428","485","456","","FAM1450_1K_01684","","FAM22076_1K_00638","",""
"group_1322","","hypothetical protein","2","2","1","153","1","154","6","","1004","1076","1040","","FAM1450_1K_01720","","FAM22076_1K_01926","",""
"group_1323","","hypothetical protein","2","2","1","135","4","143","4","","215","215","215","","FAM1450_1K_01740","","FAM22076_1K_01503","",""
"group_1329","","hypothetical protein","2","2","1","172","4","173","7","","917","1016","966","","FAM1450_1K_01815","","FAM22076_1K_01757","",""
"group_1336","","hypothetical protein","2","2","1","120","3","132","3","","1970","2546","2258","","FAM1450_1K_01990","","FAM22076_1K_01742","",""
"group_1338","","hypothetical protein","2","2","1","98","1","100","1","Investigate","470","524","497","","FAM1450_1K_02039","","FAM22076_1K_01803","",""
"group_135","","Cardiolipin synthase","2","2","1","176","8","176","8","","479","485","482","FAM1213_1K_01696","FAM1450_1K_01776","","","",""
"glnP_1","","Glutamine transport system permease protein GlnP","2","2","1","","","","","","659","659","659","FAM1213_1K_00651","","","FAM22076_1K_01617","",""
"group_1493","","hypothetical protein","2","2","1","195","27","194","19","","674","674","674","FAM1213_1K_00652","","","FAM22076_1K_01616","",""
"group_1494","","hypothetical protein","2","2","1","195","29","194","21","","860","860","860","FAM1213_1K_00654","","","FAM22076_1K_01614","",""
"group_1510","","hypothetical protein","2","2","1","164","2","164","3","","425","425","425","FAM1213_1K_00702","FAM1450_1K_00305","","","",""
"group_1511","","hypothetical protein","2","2","1","164","3","164","4","","161","161","161","FAM1213_1K_00703","FAM1450_1K_00306","","","",""
"slpH","","S-layer protein","2","2","1","","","","","","1319","1319","1319","FAM1213_1K_00704","FAM1450_1K_00307","","","",""
"group_1513","","hypothetical protein","2","2","1","164","5","164","1","","269","269","269","FAM1213_1K_00705","FAM1450_1K_00308","","","",""
"group_1561","","hypothetical protein","2","2","1","193","23","193","23","","836","836","836","FAM1213_1K_01131","FAM1450_1K_01143","","","",""
"group_1585","","hypothetical protein","2","2","1","196","17","196","10","","1358","1358","1358","FAM1213_1K_01271","FAM1450_1K_01222","","","",""
"group_1590","","hypothetical protein","2","2","1","196","10","196","16","","290","290","290","FAM1213_1K_01279","FAM1450_1K_01227","","","",""
"group_1591","","hypothetical protein","2","2","1","196","9","196","17","","560","560","560","FAM1213_1K_01280","FAM1450_1K_01228","","","",""
"group_1592","","hypothetical protein","2","2","1","196","8","196","18","","185","185","185","FAM1213_1K_01281","FAM1450_1K_01229","","","",""
"group_1593","","Stress response regulator gls24","2","2","1","196","7","196","19","","542","542","542","FAM1213_1K_01282","FAM1450_1K_01230","","","",""
"group_1594","","hypothetical protein","2","2","1","196","6","196","21","","251","251","251","FAM1213_1K_01283","FAM1450_1K_01231","","","",""
"group_1595","","hypothetical protein","2","2","1","196","5","196","20","","140","140","140","FAM1213_1K_01284","FAM1450_1K_01232","","","",""
"group_160","","hypothetical protein","2","2","1","130","3","120","3","","224","341","282","","FAM1450_1K_01671","","FAM22076_1K_01483","",""
"group_162","","hypothetical protein","2","2","1","194","21","195","15","","461","608","534","FAM1213_1K_00115","","","FAM22076_1K_00102","",""
"group_1791","","hypothetical protein","2","2","1","118","1","95","1","Investigate","734","734","734","FAM1213_1K_01932","","","FAM22076_1K_01912","",""
"group_18","","hypothetical protein","2","2","1","193","33","193","33","","407","1181","794","FAM1213_1K_01002","FAM1450_1K_01585","","","",""
"group_1809","","hypothetical protein","2","2","1","188","11","188","10","","332","332","332","FAM1213_1K_01978","","","FAM22076_1K_01800","",""
"group_1824","","hypothetical protein","2","2","1","190","5","190","3","","794","794","794","FAM1213_1K_02019","FAM1450_1K_01054","","","",""
"group_1825","","hypothetical protein","2","2","1","190","4","190","2","","800","800","800","FAM1213_1K_02020","FAM1450_1K_01055","","","",""
"group_1864","","hypothetical protein","2","2","1","200","110","200","19","","296","296","296","","FAM1450_1K_00061","","FAM22076_1K_00351","",""
"group_1902","","hypothetical protein","2","2","1","192","1","191","10","","176","176","176","","FAM1450_1K_00336","","FAM22076_1K_00966","",""
"group_1904","","Calcium-transporting ATPase 1","2","2","1","192","10","191","4","","620","620","620","","FAM1450_1K_00353","","FAM22076_1K_00948","",""
"group_1926","","hypothetical protein","2","2","1","107","1","101","1","Investigate","482","482","482","","FAM1450_1K_00407","","FAM22076_1K_00526","",""
"group_1929","","hypothetical protein","2","2","1","146","2","148","5","","281","284","282","","FAM1450_1K_00577","","FAM22076_1K_00824","",""
"group_1938","","hypothetical protein","2","2","1","168","1","167","5","","131","131","131","","FAM1450_1K_00632","","FAM22076_1K_00485","",""
"group_1950","","hypothetical protein","2","2","1","184","14","185","11","","380","380","380","","FAM1450_1K_00654","","FAM22076_1K_01465","",""
"group_1951","","hypothetical protein","2","2","1","184","15","185","10","","551","551","551","","FAM1450_1K_00659","","FAM22076_1K_01470","",""
"group_1952","","hypothetical protein","2","2","1","184","2","185","9","","299","299","299","","FAM1450_1K_00661","","FAM22076_1K_01472","",""
"ydgH","","Putative membrane protein YdgH","2","2","1","","","","","","3608","3608","3608","","FAM1450_1K_00814","","FAM22076_1K_01116","",""
"group_1995","","hypothetical protein","2","2","1","199","38","199","12","","755","755","755","","FAM1450_1K_00907","","FAM22076_1K_00843","",""
"group_1996","","hypothetical protein","2","2","1","199","39","199","11","","1757","1757","1757","","FAM1450_1K_00908","","FAM22076_1K_00842","",""
"group_1997","","hypothetical protein","2","2","1","199","40","199","10","","902","902","902","","FAM1450_1K_00909","","FAM22076_1K_00841","",""
"group_1998","","hypothetical protein","2","2","1","199","41","199","9","","713","713","713","","FAM1450_1K_00910","","FAM22076_1K_00840","",""
"group_1999","","hypothetical protein","2","2","1","199","42","199","8","","2429","2429","2429","","FAM1450_1K_00911","","FAM22076_1K_00839","",""
"group_2000","","hypothetical protein","2","2","1","199","43","199","7","","491","491","491","","FAM1450_1K_00912","","FAM22076_1K_00838","",""
"cas1","","CRISPR-associated endonuclease Cas1","2","2","1","","","","","","989","989","989","","FAM1450_1K_00913","","FAM22076_1K_00837","",""
"group_2002","","hypothetical protein","2","2","1","199","2","199","5","","281","281","281","","FAM1450_1K_00914","","FAM22076_1K_00836","",""
"group_2003","","hypothetical protein","2","2","1","199","1","199","4","","521","521","521","","FAM1450_1K_00922","","FAM22076_1K_00828","",""
"group_2008","","hypothetical protein","2","2","1","199","13","199","32","","182","182","182","","FAM1450_1K_00956","","FAM22076_1K_01325","",""
"group_2009","","hypothetical protein","2","2","1","199","14","199","31","","260","260","260","","FAM1450_1K_00957","","FAM22076_1K_01324","",""
"group_2010","","hypothetical protein","2","2","1","199","26","199","17","","134","134","134","","FAM1450_1K_00959","","FAM22076_1K_01322","",""
"group_2011","","hypothetical protein","2","2","1","199","22","199","24","","293","293","293","","FAM1450_1K_00967","","FAM22076_1K_01314","",""
"group_2012","","hypothetical protein","2","2","1","199","21","199","23","","167","167","167","","FAM1450_1K_00968","","FAM22076_1K_01313","",""
"group_2015","","hypothetical protein","2","2","1","199","17","199","19","","737","737","737","","FAM1450_1K_00973","","FAM22076_1K_01575","",""
"group_2020","","hypothetical protein","2","2","1","200","95","200","4","","179","179","179","","FAM1450_1K_00991","","FAM22076_1K_00371","",""
"group_2021","","hypothetical protein","2","2","1","200","96","200","5","","434","434","434","","FAM1450_1K_00997","","FAM22076_1K_00366","",""
"group_2025","","hypothetical protein","2","2","1","187","3","187","6","","776","776","776","","FAM1450_1K_01024","","FAM22076_1K_01773","",""
"group_2027","","hypothetical protein","2","2","1","190","10","190","14","","179","179","179","","FAM1450_1K_01046","","FAM22076_1K_00686","",""
"group_2030","","hypothetical protein","2","2","1","199","23","199","25","","635","635","635","","FAM1450_1K_01057","","FAM22076_1K_00729","",""
"group_205","","hypothetical protein","2","2","1","178","4","177","2","","569","584","576","","FAM1450_1K_01793","","FAM22076_1K_01666","",""
"group_2055","","hypothetical protein","2","2","1","183","14","183","4","","608","608","608","","FAM1450_1K_01174","","FAM22076_1K_00867","",""
"group_2056","","hypothetical protein","2","2","1","186","6","184","1","","653","653","653","","FAM1450_1K_01188","","FAM22076_1K_01891","",""
"group_2071","","hypothetical protein","2","2","1","174","8","174","8","","257","257","257","","FAM1450_1K_01364","","FAM22076_1K_01349","",""
"group_2072","","hypothetical protein","2","2","1","174","7","174","6","","602","602","602","","FAM1450_1K_01365","","FAM22076_1K_01348","",""
"group_2073","","hypothetical protein","2","2","1","174","6","174","5","","794","794","794","","FAM1450_1K_01366","","FAM22076_1K_01347","",""
"group_2076","","hypothetical protein","2","2","1","174","3","174","2","","308","308","308","","FAM1450_1K_01369","","FAM22076_1K_01344","",""
"group_209","","hypothetical protein","2","2","1","200","89","200","76","","239","758","498","FAM1213_1K_00033","","","FAM22076_1K_00174","",""
"group_2105","","hypothetical protein","2","2","1","186","3","184","11","","446","446","446","","FAM1450_1K_01509","","FAM22076_1K_00655","",""
"group_2110","","hypothetical protein","2","2","1","149","2","150","2","","221","221","221","","FAM1450_1K_01552","","FAM22076_1K_01380","",""
"group_2177","","hypothetical protein","2","2","1","178","5","177","3","","230","230","230","","FAM1450_1K_01794","","FAM22076_1K_01667","",""
"group_2178","","hypothetical protein","2","2","1","178","6","177","4","","269","269","269","","FAM1450_1K_01795","","FAM22076_1K_01668","",""
"group_2179","","hypothetical protein","2","2","1","178","7","177","8","","233","233","233","","FAM1450_1K_01796","","FAM22076_1K_01669","",""
"msbA_2","","Lipid A export ATP-binding/permease protein MsbA","2","2","1","","","","","","1586","1586","1586","","FAM1450_1K_01798","","FAM22076_1K_01671","",""
"group_2182","","hypothetical protein","2","2","1","178","1","177","5","","380","380","380","","FAM1450_1K_01799","","FAM22076_1K_01672","",""
"group_2185","","hypothetical protein","2","2","1","190","14","190","8","","173","173","173","","FAM1450_1K_01806","","FAM22076_1K_00696","",""
"group_2186","","hypothetical protein","2","2","1","190","13","190","9","","209","209","209","","FAM1450_1K_01807","","FAM22076_1K_00695","",""
"group_2187","","hypothetical protein","2","2","1","190","12","190","12","","1583","1583","1583","","FAM1450_1K_01809","","FAM22076_1K_00693","",""
"group_2188","","hypothetical protein","2","2","1","172","1","173","1","","143","143","143","","FAM1450_1K_01812","","FAM22076_1K_01923","",""
"group_2189","","hypothetical protein","2","2","1","172","2","173","2","","632","632","632","","FAM1450_1K_01813","","FAM22076_1K_01924","",""
"group_2190","","hypothetical protein","2","2","1","172","3","173","3","","1016","1016","1016","","FAM1450_1K_01814","","FAM22076_1K_01925","",""
"group_2191","","hypothetical protein","2","2","1","172","5","173","6","","842","842","842","","FAM1450_1K_01816","","FAM22076_1K_01758","",""
"group_2192","","hypothetical protein","2","2","1","172","7","173","5","","1586","1586","1586","","FAM1450_1K_01817","","FAM22076_1K_01759","",""
"group_2193","","hypothetical protein","2","2","1","172","6","173","4","","1571","1571","1571","","FAM1450_1K_01818","","FAM22076_1K_01760","",""
"group_2205","","hypothetical protein","2","2","1","99","1","117","1","Investigate","596","596","596","","FAM1450_1K_01870","","FAM22076_1K_01637","",""
"group_2219","","hypothetical protein","2","2","1","123","3","131","2","","344","344","344","","FAM1450_1K_01919","","FAM22076_1K_01194","",""
"group_2224","","hypothetical protein","2","2","1","134","1","136","1","","197","197","197","","FAM1450_1K_01933","","FAM22076_1K_01673","",""
"group_223","","hypothetical protein","2","2","1","189","17","189","15","","332","686","509","FAM1213_1K_00573","","","FAM22076_1K_00721","",""
"group_2230","","hypothetical protein","2","2","1","93","1","112","1","Investigate","173","173","173","","FAM1450_1K_01944","","FAM22076_1K_01729","",""
"ycaM_2","","Inner membrane transporter YcaM","2","2","1","","","","","","875","875","875","","FAM1450_1K_02055","","FAM22076_1K_01541","",""
"pepDA_4","","Dipeptidase A","2","2","1","","","","","","230","572","401","","FAM1450_1K_02068","","FAM22076_1K_00763","",""
"bglH_3","","Aryl-phospho-beta-D-glucosidase BglH","2","2","1","","","","","","719","719","719","","FAM1450_1K_02098","","FAM22076_1K_01938","",""
"group_2264","","hypothetical protein","2","2","1","167","1","168","6","","302","302","302","","FAM1450_1K_02105","","FAM22076_1K_01817","",""
"group_2265","","hypothetical protein","2","2","1","167","6","168","5","","278","278","278","","FAM1450_1K_02106","","FAM22076_1K_01816","",""
"group_2266","","hypothetical protein","2","2","1","167","5","168","4","","608","608","608","","FAM1450_1K_02107","","FAM22076_1K_01815","",""
"group_2267","","hypothetical protein","2","2","1","167","4","168","3","","314","314","314","","FAM1450_1K_02108","","FAM22076_1K_01814","",""
"group_2268","","hypothetical protein","2","2","1","167","3","168","2","","455","455","455","","FAM1450_1K_02109","","FAM22076_1K_01813","",""
"group_2269","","hypothetical protein","2","2","1","167","2","168","1","","872","872","872","","FAM1450_1K_02110","","FAM22076_1K_01812","",""
"group_2278","","hypothetical protein","2","2","1","125","3","130","1","","302","302","302","","FAM1450_1K_02128","","FAM22076_1K_01786","",""
"gadC","","Glutamate/gamma-aminobutyrate antiporter","2","2","1","","","","","","536","1148","842","FAM1213_1K_00869","","","FAM22076_1K_01075","",""
"group_2281","","hypothetical protein","2","2","1","131","2","133","1","","557","557","557","","FAM1450_1K_02171","","FAM22076_1K_02000","",""
"group_255","","hypothetical protein","2","2","1","139","4","139","4","","356","368","362","","FAM1450_1K_01836","","FAM22076_1K_00987","",""
"group_263","","hypothetical protein","2","2","1","144","1","146","4","","701","779","740","","FAM1450_1K_00800","","FAM22076_1K_01768","",""
"group_265","","hypothetical protein","2","2","1","184","1","185","8","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","254","1241","747","FAM1213_1K_02081","FAM1450_1K_00667","","","",""
"rarA","","Replication-associated recombination protein A","2","2","1","","","","","","365","659","512","","FAM1450_1K_00004","","FAM22076_1K_00177","",""
"oatA","","O-acetyltransferase OatA","2","2","1","","","","","","908","1682","1295","FAM1213_1K_00128","","","FAM22076_1K_00256","",""
"group_299","","hypothetical protein","2","2","1","200","15","200","95","","428","428","428","FAM1213_1K_00758","FAM1450_1K_00115","","","",""
"group_301","","hypothetical protein","2","2","1","188","12","188","12","","428","512","470","FAM1213_1K_01720","","","FAM22076_1K_01801","",""
"group_305","","hypothetical protein","2","2","1","144","3","146","3","","473","941","707","","FAM1450_1K_00810","","FAM22076_1K_01120","",""
"group_313","","hypothetical protein","2","2","1","171","7","169","5","","194","305","249","FAM1213_1K_01042","","","FAM22076_1K_01441","",""
"group_316","","hypothetical protein","2","2","1","183","6","183","9","","311","443","377","FAM1213_1K_01074","FAM1450_1K_01158","","","",""
"group_321","","hypothetical protein","2","2","1","183","12","183","5","","527","527","527","","FAM1450_1K_01173","","FAM22076_1K_00866","",""
"bglA_3","","6-phospho-beta-glucosidase BglA","2","2","1","","","","","","335","335","335","","FAM1450_1K_01931","","FAM22076_1K_01675","",""
"group_341","","hypothetical protein","2","2","1","111","1","108","1","Investigate","221","272","246","","FAM1450_1K_01997","","FAM22076_1K_01761","",""
"arcB","","hypothetical protein","2","2","1","","","","","","137","1040","588","FAM1213_1K_01701","","","FAM22076_1K_01455","",""
"group_405","","hypothetical protein","2","2","1","145","4","145","4","","656","1226","941","","FAM1450_1K_00729","","FAM22076_1K_00980","",""
