"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","FAM1213_1K","FAM1450_1K","FAM19191_1K","FAM22076_1K","FAM23285_1K","FAM8102_1K"
"argS","","Arginine--tRNA ligase","6","6","1","17","35","","","","1685","1685","1685","FAM1213_1K_01655","FAM1450_1K_01047","FAM19191_1K_00005","FAM22076_1K_00687","FAM23285_1K_01930","FAM8102_1K_00005"
"arlR","","Response regulator ArlR","6","6","1","21","1136","","","","716","716","716","FAM1213_1K_00327","FAM1450_1K_00565","FAM19191_1K_00820","FAM22076_1K_00812","FAM23285_1K_01287","FAM8102_1K_01381"
"arlS","","Signal transduction histidine-protein kinase ArlS","6","6","1","21","1137","","","","1559","1559","1559","FAM1213_1K_00326","FAM1450_1K_00564","FAM19191_1K_00821","FAM22076_1K_00811","FAM23285_1K_01288","FAM8102_1K_01382"
"artM_1","","Arginine transport ATP-binding protein ArtM","6","6","1","21","383","","","","737","737","737","FAM1213_1K_00969","FAM1450_1K_00479","FAM19191_1K_00994","FAM22076_1K_00024","FAM23285_1K_01003","FAM8102_1K_01119"
"artM_2","","Arginine transport ATP-binding protein ArtM","6","6","1","21","403","","","","755","755","755","FAM1213_1K_00989","FAM1450_1K_00459","FAM19191_1K_01782","FAM22076_1K_00004","FAM23285_1K_01728","FAM8102_1K_01877"
"artQ","","Arginine transport system permease protein ArtQ","6","6","1","21","384","","","","1484","1484","1484","FAM1213_1K_00970","FAM1450_1K_00478","FAM19191_1K_00993","FAM22076_1K_00023","FAM23285_1K_01002","FAM8102_1K_01118"
"asd","","Aspartate-semialdehyde dehydrogenase","6","6","1","21","610","","","","1058","1058","1058","FAM1213_1K_01254","FAM1450_1K_01819","FAM19191_1K_01467","FAM22076_1K_01612","FAM23285_1K_01352","FAM8102_1K_01514"
"asnA","","Aspartate--ammonia ligase","6","6","1","21","150","","","","1013","1013","1013","FAM1213_1K_00583","FAM1450_1K_01347","FAM19191_1K_02133","FAM22076_1K_01196","FAM23285_1K_02178","FAM8102_1K_02216"
"asnB","","Asparagine synthetase [glutamine-hydrolyzing] 1","6","6","1","21","364","","","","1949","1949","1949","FAM1213_1K_00718","FAM1450_1K_00323","FAM19191_1K_00525","FAM22076_1K_00044","FAM23285_1K_00547","FAM8102_1K_00657"
"asnS","","Asparagine--tRNA ligase","6","6","1","21","436","","","","1298","1298","1298","FAM1213_1K_00017","FAM1450_1K_00018","FAM19191_1K_00125","FAM22076_1K_00191","FAM23285_1K_00192","FAM8102_1K_00200"
"aspS","","Aspartate--tRNA ligase","6","6","1","19","2","","","","1853","1853","1853","FAM1213_1K_01221","FAM1450_1K_01747","FAM19191_1K_01926","FAM22076_1K_01476","FAM23285_1K_01944","FAM8102_1K_02026"
"atpA","","ATP synthase subunit alpha","6","6","1","21","577","","","","1511","1511","1511","FAM1213_1K_00529","FAM1450_1K_01080","FAM19191_1K_01199","FAM22076_1K_00420","FAM23285_1K_00972","FAM8102_1K_01087"
"atpB","","ATP synthase subunit a","6","6","1","21","573","","","","713","713","713","FAM1213_1K_00525","FAM1450_1K_01084","FAM19191_1K_01203","FAM22076_1K_00424","FAM23285_1K_00968","FAM8102_1K_01083"
"atpC","","ATP synthase epsilon chain","6","6","1","21","580","","","","440","440","440","FAM1213_1K_00532","FAM1450_1K_01077","FAM19191_1K_01196","FAM22076_1K_00417","FAM23285_1K_00975","FAM8102_1K_01090"
"atpD","","ATP synthase subunit beta","6","6","1","21","579","","","","1439","1439","1439","FAM1213_1K_00531","FAM1450_1K_01078","FAM19191_1K_01197","FAM22076_1K_00418","FAM23285_1K_00974","FAM8102_1K_01089"
"atpF","","ATP synthase subunit b","6","6","1","21","575","","","","509","509","509","FAM1213_1K_00527","FAM1450_1K_01082","FAM19191_1K_01201","FAM22076_1K_00422","FAM23285_1K_00970","FAM8102_1K_01085"
"atpG","","ATP synthase gamma chain","6","6","1","21","578","","","","962","962","962","FAM1213_1K_00530","FAM1450_1K_01079","FAM19191_1K_01198","FAM22076_1K_00419","FAM23285_1K_00973","FAM8102_1K_01088"
"atpH","","ATP synthase subunit delta","6","6","1","21","576","","","","548","548","548","FAM1213_1K_00528","FAM1450_1K_01081","FAM19191_1K_01200","FAM22076_1K_00421","FAM23285_1K_00971","FAM8102_1K_01086"
"baeS","","Signal transduction histidine-protein kinase BaeS","6","6","1","21","54","","","","1457","1475","1460","FAM1213_1K_00510","FAM1450_1K_01380","FAM19191_1K_00389","FAM22076_1K_01263","FAM23285_1K_00491","FAM8102_1K_00557"
"bglF","","PTS system beta-glucoside-specific EIIBCA component","6","6","1","21","77","","","","2021","2021","2021","FAM1213_1K_01738","FAM1450_1K_00547","FAM19191_1K_00193","FAM22076_1K_00572","FAM23285_1K_00657","FAM8102_1K_00335"
"bglH_1","","Aryl-phospho-beta-D-glucosidase BglH","6","6","1","21","74","","","","347","632","394","FAM1213_1K_01736","FAM1450_1K_00550","FAM19191_1K_00196","FAM22076_1K_00575","FAM23285_1K_00660","FAM8102_1K_00332"
"bglK","","hypothetical protein","6","6","1","21","316","","","","446","917","524","FAM1213_1K_01288","FAM1450_1K_01247","FAM19191_1K_00451","FAM22076_1K_01159","FAM23285_1K_00248","FAM8102_1K_00261"
"bmr3_1","","Multidrug resistance protein 3","6","6","1","17","3","","","","1460","1460","1460","FAM1213_1K_01589","FAM1450_1K_02040","FAM19191_1K_00100","FAM22076_1K_01804","FAM23285_1K_00091","FAM8102_1K_00100"
"bmr3_2","","Multidrug resistance protein 3","6","6","1","21","724","","","","1469","1469","1469","FAM1213_1K_01006","FAM1450_1K_01534","FAM19191_1K_01126","FAM22076_1K_01083","FAM23285_1K_01235","FAM8102_1K_00612"
"brnQ","","Branched-chain amino acid transport system 2 carrier protein","6","6","1","21","1022","","","","1379","1379","1379","FAM1213_1K_01394","FAM1450_1K_00074","FAM19191_1K_01955","FAM22076_1K_01864","FAM23285_1K_02012","FAM8102_1K_02065"
"brpA","","Biofilm regulatory protein A","6","6","1","21","342","","","","1106","1109","1108","FAM1213_1K_01308","FAM1450_1K_01180","FAM19191_1K_01110","FAM22076_1K_00073","FAM23285_1K_00282","FAM8102_1K_00295"
"carA_1","","Carbamoyl-phosphate synthase small chain","6","6","1","21","423","","","","1055","1055","1055","FAM1213_1K_00005","FAM1450_1K_00033","FAM19191_1K_00111","FAM22076_1K_00205","FAM23285_1K_00178","FAM8102_1K_00186"
"carA_2","","Carbamoyl-phosphate synthase small chain","6","6","1","21","1346","","","","1085","1085","1085","FAM1213_1K_00675","FAM1450_1K_01922","FAM19191_1K_01375","FAM22076_1K_01165","FAM23285_1K_01315","FAM8102_1K_01437"
"carB_1","","Carbamoyl-phosphate synthase large chain","6","6","1","21","422","","","","3191","3191","3191","FAM1213_1K_00004","FAM1450_1K_00034","FAM19191_1K_00110","FAM22076_1K_00206","FAM23285_1K_00177","FAM8102_1K_00185"
"cbh","","hypothetical protein","6","6","1","19","25","","","","503","713","586","FAM1213_1K_01759","FAM1450_1K_01986","FAM19191_1K_02140","FAM22076_1K_01822","FAM23285_1K_02195","FAM8102_1K_02225"
"cca","","CCA-adding enzyme","6","6","1","21","984","","","","1199","1199","1199","FAM1213_1K_00154","FAM1450_1K_00245","FAM19191_1K_00255","FAM22076_1K_00281","FAM23285_1K_00315","FAM8102_1K_00374"
"ccpA","","Catabolite control protein A","6","6","1","21","532","","","","1001","1001","1001","FAM1213_1K_00225","FAM1450_1K_01711","FAM19191_1K_01510","FAM22076_1K_01505","FAM23285_1K_01438","FAM8102_1K_01534"
"cdaR","","CdaA regulatory protein CdaR","6","6","1","21","86","","","","959","959","959","FAM1213_1K_01104","FAM1450_1K_00538","FAM19191_1K_00184","FAM22076_1K_00563","FAM23285_1K_00648","FAM8102_1K_00344"
"cdsA","","Phosphatidate cytidylyltransferase","6","6","1","21","1264","","","","815","815","815","FAM1213_1K_00469","FAM1450_1K_00440","FAM19191_1K_00279","FAM22076_1K_00507","FAM23285_1K_00381","FAM8102_1K_00411"
"cfa","","Cyclopropane-fatty-acyl-phospholipid synthase","6","6","1","21","1272","","","","1181","1181","1181","FAM1213_1K_00477","FAM1450_1K_00432","FAM19191_1K_00271","FAM22076_1K_00515","FAM23285_1K_00373","FAM8102_1K_00403"
"cggR","","Central glycolytic genes regulator","6","6","1","21","102","","","","1031","1031","1031","FAM1213_1K_01120","FAM1450_1K_00522","FAM19191_1K_00168","FAM22076_1K_00547","FAM23285_1K_00632","FAM8102_1K_00360"
"citC","","[Citrate [pro-3S]-lyase] ligase","6","6","1","19","52","","","","1052","1052","1052","FAM1213_1K_01046","FAM1450_1K_01254","FAM19191_1K_00322","FAM22076_1K_01046","FAM23285_1K_00424","FAM8102_1K_00454"
"citD","","Citrate lyase acyl carrier protein","6","6","1","19","53","","","","293","293","293","FAM1213_1K_01047","FAM1450_1K_01255","FAM19191_1K_00321","FAM22076_1K_01047","FAM23285_1K_00423","FAM8102_1K_00453"
"citE","","Citrate lyase subunit beta","6","6","1","19","54","","","","914","914","914","FAM1213_1K_01048","FAM1450_1K_01256","FAM19191_1K_00320","FAM22076_1K_01048","FAM23285_1K_00422","FAM8102_1K_00452"
"citF","","Citrate lyase alpha chain","6","6","1","19","55","","","","1541","1541","1541","FAM1213_1K_01049","FAM1450_1K_01257","FAM19191_1K_00319","FAM22076_1K_01049","FAM23285_1K_00421","FAM8102_1K_00451"
"citG","","2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase","6","6","1","21","1077","","","","818","818","818","FAM1213_1K_01899","FAM1450_1K_01313","FAM19191_1K_00951","FAM22076_1K_01724","FAM23285_1K_01012","FAM8102_1K_01049"
"citX","","apo-citrate lyase phosphoribosyl-dephospho-CoA transferase","6","6","1","21","1235","","","","536","536","536","FAM1213_1K_01703","FAM1450_1K_01765","FAM19191_1K_01830","FAM22076_1K_01460","FAM23285_1K_01950","FAM8102_1K_01934"
"clcA","","H(+)/Cl(-) exchange transporter ClcA","6","6","1","21","1154","","","","1559","1559","1559","FAM1213_1K_00795","FAM1450_1K_00505","FAM19191_1K_00683","FAM22076_1K_00622","FAM23285_1K_00478","FAM8102_1K_00814"
"clpC","","ATP-dependent Clp protease ATP-binding subunit ClpC","6","6","1","16","3","","","","2480","2480","2480","FAM1213_1K_01055","FAM1450_1K_00403","FAM19191_1K_00599","FAM22076_1K_00522","FAM23285_1K_00569","FAM8102_1K_00731"
"clpE_1","","ATP-dependent Clp protease ATP-binding subunit ClpE","6","6","1","21","737","","","","2123","2162","2135","FAM1213_1K_00576","FAM1450_1K_01444","FAM19191_1K_00625","FAM22076_1K_00724","FAM23285_1K_00617","FAM8102_1K_00756"
"clpE_2","","ATP-dependent Clp protease ATP-binding subunit ClpE","6","6","1","21","12","","","","2048","2189","2165","FAM1213_1K_01892","FAM1450_1K_01596","FAM19191_1K_01247","FAM22076_1K_01385","FAM23285_1K_01444","FAM8102_1K_01540"
"clpP","","ATP-dependent Clp protease proteolytic subunit","6","6","1","21","106","","","","581","584","583","FAM1213_1K_00401","FAM1450_1K_01946","FAM19191_1K_01266","FAM22076_1K_01545","FAM23285_1K_01249","FAM8102_1K_01301"
"clpX","","ATP-dependent Clp protease ATP-binding subunit ClpX","6","6","1","21","621","","","","1274","1274","1274","FAM1213_1K_01796","FAM1450_1K_00770","FAM19191_1K_00947","FAM22076_1K_01538","FAM23285_1K_00957","FAM8102_1K_01045"
"clpY","","ATP-dependent protease ATPase subunit ClpY","6","6","1","21","814","","","","1403","1403","1403","FAM1213_1K_00166","FAM1450_1K_00257","FAM19191_1K_00267","FAM22076_1K_00293","FAM23285_1K_00327","FAM8102_1K_00362"
"clsA","","Major cardiolipin synthase ClsA","6","6","1","21","395","","","","1457","1457","1457","FAM1213_1K_00981","FAM1450_1K_00467","FAM19191_1K_00982","FAM22076_1K_00012","FAM23285_1K_00991","FAM8102_1K_01107"
"cmk","","Cytidylate kinase","6","6","1","21","990","","","","674","674","674","FAM1213_1K_00148","FAM1450_1K_00239","FAM19191_1K_00249","FAM22076_1K_00275","FAM23285_1K_00309","FAM8102_1K_00380"
"coaA","","Pantothenate kinase","6","6","1","21","857","","","","914","914","914","FAM1213_1K_01625","FAM1450_1K_00340","FAM19191_1K_01722","FAM22076_1K_00962","FAM23285_1K_01643","FAM8102_1K_01783"
"coaBC","","Coenzyme A biosynthesis bifunctional protein CoaBC","6","6","1","21","1002","","","","1193","1193","1193","FAM1213_1K_00117","FAM1450_1K_01858","FAM19191_1K_02080","FAM22076_1K_01645","FAM23285_1K_02127","FAM8102_1K_02161"
"coaD","","Phosphopantetheine adenylyltransferase","6","6","1","21","632","","","","494","494","494","FAM1213_1K_01471","FAM1450_1K_00759","FAM19191_1K_00936","FAM22076_1K_00330","FAM23285_1K_00946","FAM8102_1K_01034"
"coaE","","Dephospho-CoA kinase","6","6","1","21","1118","","","","602","602","602","FAM1213_1K_00346","FAM1450_1K_00917","FAM19191_1K_00892","FAM22076_1K_00833","FAM23285_1K_00875","FAM8102_1K_00965"
"cobB","","NAD-dependent protein deacetylase","6","6","1","21","397","","","","704","704","704","FAM1213_1K_00983","FAM1450_1K_00465","FAM19191_1K_00979","FAM22076_1K_00010","FAM23285_1K_00989","FAM8102_1K_01104"
"comEA","","ComE operon protein 1","6","6","1","21","630","","","","695","701","696","FAM1213_1K_01469","FAM1450_1K_00761","FAM19191_1K_00938","FAM22076_1K_00332","FAM23285_1K_00948","FAM8102_1K_01036"
"comEC","","ComE operon protein 3","6","6","1","21","629","","","","2288","2288","2288","FAM1213_1K_01468","FAM1450_1K_00762","FAM19191_1K_00939","FAM22076_1K_00333","FAM23285_1K_00949","FAM8102_1K_01037"
"comFA","","ComF operon protein 1","6","6","1","21","42","","","","1286","1286","1286","FAM1213_1K_00421","FAM1450_1K_00139","FAM19191_1K_00496","FAM22076_1K_00241","FAM23285_1K_00355","FAM8102_1K_00547"
"comGA","","ComG operon protein 1","6","6","1","21","67","","","","974","974","974","FAM1213_1K_00496","FAM1450_1K_01396","FAM19191_1K_00204","FAM22076_1K_01247","FAM23285_1K_01222","FAM8102_1K_00324"
"copA","","Copper-exporting P-type ATPase","6","6","1","21","1149","","","","1922","1922","1922","FAM1213_1K_00800","FAM1450_1K_00500","FAM19191_1K_00688","FAM22076_1K_00617","FAM23285_1K_00483","FAM8102_1K_00819"
"corC","","Magnesium and cobalt efflux protein CorC","6","6","1","21","9","","","","566","872","821","FAM1213_1K_01917","FAM1450_1K_01599","FAM19191_1K_01250","FAM22076_1K_01389","FAM23285_1K_01447","FAM8102_1K_01543"
"cpdB","","2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase","6","6","1","21","1016","","","","1556","1562","1561","FAM1213_1K_00134","FAM1450_1K_00226","FAM19191_1K_00236","FAM22076_1K_00262","FAM23285_1K_00296","FAM8102_1K_00393"
"cpoA","","Alpha-galactosylglucosyldiacylglycerol synthase","6","6","1","12","2","","","","1043","1043","1043","FAM1213_1K_01577","FAM1450_1K_01455","FAM19191_1K_01451","FAM22076_1K_01409","FAM23285_1K_01392","FAM8102_1K_01498"
"csbB","","putative glycosyltransferase","6","6","1","21","678","","","","926","926","926","FAM1213_1K_01982","FAM1450_1K_01881","FAM19191_1K_01419","FAM22076_1K_01848","FAM23285_1K_01885","FAM8102_1K_01466"
"csd","","putative cysteine desulfurase","6","6","1","21","279","","","","1238","1238","1238","FAM1213_1K_00875","FAM1450_1K_01274","FAM19191_1K_01485","FAM22076_1K_01305","FAM23285_1K_01539","FAM8102_1K_01603"
"cshA","","ATP-dependent RNA helicase CshA","6","6","1","16","20","","","","1499","1511","1507","FAM1213_1K_01730","FAM1450_1K_00424","FAM19191_1K_00577","FAM22076_1K_00543","FAM23285_1K_00591","FAM8102_1K_00709"
"cshB","","DEAD-box ATP-dependent RNA helicase CshB","6","6","1","21","547","","","","1361","1361","1361","FAM1213_1K_00242","FAM1450_1K_01068","FAM19191_1K_00659","FAM22076_1K_00740","FAM23285_1K_00856","FAM8102_1K_00790"
"ctpE","","putative cation-transporting ATPase E","6","6","1","19","29","","","","2417","2417","2417","FAM1213_1K_01030","FAM1450_1K_01890","FAM19191_1K_00347","FAM22076_1K_01177","FAM23285_1K_00449","FAM8102_1K_00479"
"cvfB","","Conserved virulence factor B","6","6","1","21","998","","","","893","893","893","FAM1213_1K_00140","FAM1450_1K_00231","FAM19191_1K_00241","FAM22076_1K_00267","FAM23285_1K_00301","FAM8102_1K_00388"
"cycA_1","","D-serine/D-alanine/glycine transporter","6","6","1","21","734","","","","1352","1361","1355","FAM1213_1K_00579","FAM1450_1K_01441","FAM19191_1K_00628","FAM22076_1K_00727","FAM23285_1K_00620","FAM8102_1K_00759"
"cycA_2","","D-serine/D-alanine/glycine transporter","6","6","1","20","15","","","","1373","1373","1373","FAM1213_1K_01076","FAM1450_1K_01161","FAM19191_1K_02127","FAM22076_1K_00854","FAM23285_1K_02181","FAM8102_1K_02214"
"cysK","","Cysteine synthase","6","6","1","21","1244","","","","227","929","812","FAM1213_1K_00447","FAM1450_1K_01735","FAM19191_1K_00299","FAM22076_1K_01498","FAM23285_1K_00401","FAM8102_1K_00431"
"cysS","","Cysteine--tRNA ligase","6","6","1","21","485","","","","1430","1430","1430","FAM1213_1K_00310","FAM1450_1K_01562","FAM19191_1K_01322","FAM22076_1K_01231","FAM23285_1K_01258","FAM8102_1K_01234"
"czcD","","Cadmium, cobalt and zinc/H(+)-K(+) antiporter","6","6","1","18","8","","","","899","899","899","FAM1213_1K_00920","FAM1450_1K_00635","FAM19191_1K_00702","FAM22076_1K_00488","FAM23285_1K_00709","FAM8102_1K_00833"
"dacA_1","","Diadenylate cyclase","6","6","1","21","87","","","","842","842","842","FAM1213_1K_01105","FAM1450_1K_00537","FAM19191_1K_00183","FAM22076_1K_00562","FAM23285_1K_00647","FAM8102_1K_00345"
"dacA_2","","D-alanyl-D-alanine carboxypeptidase DacA","6","6","1","17","22","","","","1295","1295","1295","FAM1213_1K_01662","FAM1450_1K_01040","FAM19191_1K_00076","FAM22076_1K_00680","FAM23285_1K_00067","FAM8102_1K_00076"
"dagK","","Diacylglycerol kinase","6","6","1","20","47","","","","920","920","920","FAM1213_1K_01180","FAM1450_1K_00778","FAM19191_1K_01154","FAM22076_1K_00927","FAM23285_1K_01079","FAM8102_1K_01192"
"dapA","","4-hydroxy-tetrahydrodipicolinate synthase","6","6","1","21","613","","","","935","935","935","FAM1213_1K_01257","FAM1450_1K_01822","FAM19191_1K_01464","FAM22076_1K_01609","FAM23285_1K_01355","FAM8102_1K_01511"
"dapB","","4-hydroxy-tetrahydrodipicolinate reductase","6","6","1","21","612","","","","779","779","779","FAM1213_1K_01256","FAM1450_1K_01821","FAM19191_1K_01465","FAM22076_1K_01610","FAM23285_1K_01354","FAM8102_1K_01512"
"dapF","","Diaminopimelate epimerase","6","6","1","21","618","","","","1004","1004","1004","FAM1213_1K_01262","FAM1450_1K_00774","FAM19191_1K_01459","FAM22076_1K_01534","FAM23285_1K_01360","FAM8102_1K_01506"
"dapH","","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase","6","6","1","21","615","","","","710","710","710","FAM1213_1K_01259","FAM1450_1K_01824","FAM19191_1K_01462","FAM22076_1K_01607","FAM23285_1K_01357","FAM8102_1K_01509"
"ddlA","","D-alanine--D-alanine ligase A","6","6","1","21","381","","","","1082","1082","1082","FAM1213_1K_00967","FAM1450_1K_00481","FAM19191_1K_00996","FAM22076_1K_00026","FAM23285_1K_01005","FAM8102_1K_01121"
"dedA","","Protein DedA","6","6","1","21","525","","","","650","650","650","FAM1213_1K_00218","FAM1450_1K_01704","FAM19191_1K_01503","FAM22076_1K_01512","FAM23285_1K_01431","FAM8102_1K_01527"
"def","","Peptide deformylase","6","6","1","21","637","","","","554","554","554","FAM1213_1K_01476","FAM1450_1K_00754","FAM19191_1K_00931","FAM22076_1K_00325","FAM23285_1K_00941","FAM8102_1K_01029"
"degA","","hypothetical protein","6","6","1","21","559","","","","572","986","683","FAM1213_1K_00257","FAM1450_1K_00964","FAM19191_1K_00644","FAM22076_1K_01317","FAM23285_1K_01792","FAM8102_1K_00775"
"degV_1","","Protein DegV","6","6","1","21","419","","","","881","956","906","FAM1213_1K_00001","FAM1450_1K_00037","FAM19191_1K_00107","FAM22076_1K_00209","FAM23285_1K_00174","FAM8102_1K_00182"
"degV_2","","Protein DegV","6","6","1","21","1190","","","","929","929","929","FAM1213_1K_00773","FAM1450_1K_01405","FAM19191_1K_01603","FAM22076_1K_01885","FAM23285_1K_01535","FAM8102_1K_01653"
"der","","GTPase Der","6","6","1","21","988","","","","1307","1307","1307","FAM1213_1K_00150","FAM1450_1K_00241","FAM19191_1K_00251","FAM22076_1K_00277","FAM23285_1K_00311","FAM8102_1K_00378"
"dfrA","","Dihydrofolate reductase","6","6","1","19","27","","","","518","518","518","FAM1213_1K_01764","FAM1450_1K_01983","FAM19191_1K_00349","FAM22076_1K_01819","FAM23285_1K_00451","FAM8102_1K_00481"
"dinB","","DNA polymerase IV","6","6","1","21","549","","","","1121","1121","1121","FAM1213_1K_00244","FAM1450_1K_01066","FAM19191_1K_00657","FAM22076_1K_00738","FAM23285_1K_00858","FAM8102_1K_00788"
"dinG","","putative ATP-dependent helicase DinG","6","6","1","21","438","","","","2783","2789","2788","FAM1213_1K_00019","FAM1450_1K_00016","FAM19191_1K_00127","FAM22076_1K_00189","FAM23285_1K_00194","FAM8102_1K_00202"
"divIB","","Cell division protein DivIB","6","6","1","21","658","","","","857","863","858","FAM1213_1K_00748","FAM1450_1K_00704","FAM19191_1K_00853","FAM22076_1K_00303","FAM23285_1K_00792","FAM8102_1K_00926"
"dltA","","D-alanine--D-alanyl carrier protein ligase","6","6","1","21","754","","","","1514","1514","1514","FAM1213_1K_00555","FAM1450_1K_00278","FAM19191_1K_00604","FAM22076_1K_00704","FAM23285_1K_00596","FAM8102_1K_00735"
"dltC","","D-alanine--poly(phosphoribitol) ligase subunit 2","6","6","1","21","752","","","","239","239","239","FAM1213_1K_00557","FAM1450_1K_00276","FAM19191_1K_00606","FAM22076_1K_00706","FAM23285_1K_00598","FAM8102_1K_00737"
"dltD","","Protein DltD","6","6","1","21","751","","","","1286","1286","1286","FAM1213_1K_00558","FAM1450_1K_00275","FAM19191_1K_00607","FAM22076_1K_00707","FAM23285_1K_00599","FAM8102_1K_00738"
"dnaA","","Chromosomal replication initiator protein DnaA","6","6","1","21","1161","","","","1367","1367","1367","FAM1213_1K_00787","FAM1450_1K_00512","FAM19191_1K_00676","FAM22076_1K_00629","FAM23285_1K_00471","FAM8102_1K_00807"
"dnaC","","Replicative DNA helicase","6","6","1","21","1172","","","","1394","1394","1394","FAM1213_1K_00775","FAM1450_1K_01402","FAM19191_1K_01583","FAM22076_1K_01739","FAM23285_1K_00454","FAM8102_1K_01610"
"dnaE","","DNA polymerase III subunit alpha","6","6","1","21","1018","","","","3104","3107","3106","FAM1213_1K_00137","FAM1450_1K_00228","FAM19191_1K_00238","FAM22076_1K_00264","FAM23285_1K_00298","FAM8102_1K_00391"
